Perido,Industria,Departamento,Cargo,Región,Sueldo_Min,Sueldo_Max
2025-Q1,Banca & Serv Financieros,IT,Analista BI,Buenos Aires,3050135,3462622.68
2025-Q1,Banca & Serv Financieros,IT,Analista BI,Cuyo,2806124.2,3185612.8656
2025-Q1,Banca & Serv Financieros,IT,Analista BI,Litoral,2806124.2,3185612.8656
2025-Q1,Banca & Serv Financieros,IT,Analista BI,NEA,2684118.8,3047107.9584
2025-Q1,Banca & Serv Financieros,IT,Analista BI,NOA,2684118.8,3047107.9584
2025-Q1,Banca & Serv Financieros,IT,Analista BI,Patagonia,3050135,3462622.68
2025-Q1,Consumo masivo,IT,Analista BI,Buenos Aires,2804725,3751174.68
2025-Q1,Consumo masivo,IT,Analista BI,Cuyo,2580347,3451080.7056
2025-Q1,Consumo masivo,IT,Analista BI,Litoral,2580347,3451080.7056
2025-Q1,Consumo masivo,IT,Analista BI,NEA,2468158,3301033.7184
2025-Q1,Consumo masivo,IT,Analista BI,NOA,2468158,3301033.7184
2025-Q1,Consumo masivo,IT,Analista BI,Patagonia,2804725,3751174.68
2025-Q1,"Gas, Petróleo y Minería",IT,Analista BI,Buenos Aires,3050135,3462622.68
2025-Q1,"Gas, Petróleo y Minería",IT,Analista BI,Cuyo,2806124.2,3185612.8656
2025-Q1,"Gas, Petróleo y Minería",IT,Analista BI,Litoral,2806124.2,3185612.8656
2025-Q1,"Gas, Petróleo y Minería",IT,Analista BI,NEA,2684118.8,3047107.9584
2025-Q1,"Gas, Petróleo y Minería",IT,Analista BI,NOA,2684118.8,3047107.9584
2025-Q1,"Gas, Petróleo y Minería",IT,Analista BI,Patagonia,3050135,3462622.68
2025-Q1,IT,IT,Analista BI,Buenos Aires,3660161,4039700
2025-Q1,IT,IT,Analista BI,Cuyo,3367348.12,3716524
2025-Q1,IT,IT,Analista BI,Litoral,3367348.12,3716524
2025-Q1,IT,IT,Analista BI,NEA,3220941.68,3554936
2025-Q1,IT,IT,Analista BI,NOA,3220941.68,3554936
2025-Q1,IT,IT,Analista BI,Patagonia,3660161,4039700
2025-Q1,Lab & Pharma,IT,Analista BI,Buenos Aires,3660100,4039800
2025-Q1,Lab & Pharma,IT,Analista BI,Cuyo,3367292,3716616
2025-Q1,Lab & Pharma,IT,Analista BI,Litoral,3367292,3716616
2025-Q1,Lab & Pharma,IT,Analista BI,NEA,3220888,3555024
