ID_Alojamiento,URL_Alojamiento,Desc_Alojamiento,ID_Host,Nombre_Host,Fecha_Ini_Host,Ubicacion_Host,Tiempo_Rpta_Host,Ratio_Rpta_Host,Superhost,Barrio_Alojamiento,Barrio_Latitude,Barrio_Logitude,Tipo_Propiedad,Capacidad_Alojamiento,Cant_Baños,Cant_Camas,Noches_Min,Noches_Max,Cant_Reseñas_Alojamiento,Fecha_Ini_Reseña,Fecha_Ult_Reseña,Score_Rating,Punto_Geo_Alojamiento,Precio_Noche,Moneda,Amenidades
684886562023220628,https://www.airbnb.com/rooms/684886562023220628,Serviced apartment in Constitución · ?4.87 · Studio · 1 bed · 1 bath,31170430,Seba Y Sol,4/13/2015,"Maldonado, Uruguay",within an hour,100%,t,San Telmo,-34.62404,-58.37643,Entire serviced apartment,2,1 bath,1.0,3,1125,53,8/16/2022,12/21/2023,4.87,"[-58.37643, -34.62404]",23.0,USD,"['City skyline view', 'Hair dryer', 'Cleaning products', 'Body soap', 'Bidet', 'Outdoor shower', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Clothing storage', 'Ether"
684911860839431557,https://www.airbnb.com/rooms/684911860839431557,Condo in Palermo · ?4.91 · 1 bedroom · 1 bed · 1 bath,32241909,Lucia,4/30/2015,"Buenos Aires, Argentina",within a few hours,100%,t,Palermo,-34.57811263626502,-58.43339144997043,Entire condo,2,1 bath,1.0,2,15,11,10/11/2022,11/12/2023,4.91,"[-58.43339144997043, -34.57811263626502]",29.0,USD,"['Bathtub', 'Cleaning products', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Room-darkening shades', 'Iron', 'Clothing storage: closet', 'Books and reading material', 'Portable fans', 'Portable heater', 'Wifi', 'D"
684917307726297401,https://www.airbnb.com/rooms/684917307726297401,Rental unit in Almagro · ?4.94 · 1 bedroom · 2 beds · 1 bath,31103218,Cari & Seba,4/12/2015,"Buenos Aires, Argentina",within an hour,100%,t,Almagro,-34.61434,-58.41353,Entire rental unit,3,1 bath,2.0,1,90,15,9/11/2022,12/6/2023,4.94,"[-58.41353, -34.61434]",28.0,USD,"['Courtyard view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Free washer â?? In unit', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'C"
684938753389847569,https://www.airbnb.com/rooms/684938753389847569,Rental unit in Recoleta · ?4.79 · 1 bedroom · 1 bed · 1 bath,15449300,Anabella Y Leonardo,5/12/2014,"Buenos Aires, Argentina",within an hour,100%,t,Recoleta,-34.59417,-58.40005,Entire rental unit,2,1 bath,1.0,2,30,19,8/15/2022,11/26/2023,4.79,"[-58.40005, -34.59417]",45.0,USD,"['Shampoo', 'Body soap', 'Bidet', 'Outdoor shower', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Clothing storage: closet', 'HDTV', 'Crib', 'Pack â??n play/Travel crib', 'High chair', 'Air conditionin"
685322221632607354,https://www.airbnb.com/rooms/685322221632607354,Rental unit in AAB · 1 bedroom · 1.5 baths,472796139,Jimena,8/1/2022,,,,f,Monserrat,-34.61404,-58.38425,Entire rental unit,2,1.5 baths,,3,20,0,,,,"[-58.38425, -34.61404]",32.0,USD,"['City skyline view', 'Bathtub', 'Cleaning products', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Clothing storage: cl"
685337410251999520,https://www.airbnb.com/rooms/685337410251999520,Condo in Caballito · ?5.0 · 1 bedroom · 1 bed · 1 bath,28427862,Seve,2/26/2015,"Buenos Aires, Argentina",within an hour,100%,t,Caballito,-34.621,-58.43607,Entire condo,2,1 bath,1.0,3,90,13,9/11/2022,10/26/2023,5.0,"[-58.43607, -34.621]",34.0,USD,"['Bathtub', 'Hair dryer', 'Bidet', 'Hot water', 'Paid washer ? In building', 'Paid dryer ? In building', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Room-darkening s"
685344640548423983,https://www.airbnb.com/rooms/685344640548423983,Rental unit in Recoleta · 3 bedrooms · 4 beds · 3 baths,258577967,Carolina,4/28/2019,Argentina,within an hour,100%,t,Recoleta,-34.58724,-58.39045,Entire rental unit,5,3 baths,4.0,5,365,1,11/2/2022,11/2/2022,5.0,"[-58.39045, -34.58724]",196.0,USD,"['Hair dryer', 'Cleaning products', 'Bidet', 'Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Clothing storage: closet', '"
685403674720006913,https://www.airbnb.com/rooms/685403674720006913,Vacation home in Flores · 1 bedroom · 2 beds · 1 bath,396452672,Octavio,4/11/2021,,,,f,Flores,-34.62542958006151,-58.45868235628649,Entire vacation home,3,1 bath,2.0,1,365,0,,,,"[-58.45868235628649, -34.62542958006151]",18.0,USD,"['Exercise equipment', 'Air conditioning', 'Wifi', 'Dedicated workspace', 'In a room with a door', 'Kitchen', 'Space where guests can cook their own meals', 'Outdoor dining area', 'BBQ grill', 'Shared pool', 'Shared hot tub']"
685406315142729600,https://www.airbnb.com/rooms/685406315142729600,Condo in Buenos Aires · ?4.82 · 3 bedrooms · 4 beds · 2.5 baths,87216832,Nico,8/1/2016,"Buenos Aires, Argentina",within a day,79%,t,San Nicolas,-34.60018,-58.3738,Entire condo,6,2.5 baths,4.0,1,365,11,8/15/2022,2/10/2023,4.82,"[-58.3738, -34.60018]",120.0,USD,"['Courtyard view', 'Garden view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Bidet', 'Hot water', 'Free washer ? In unit', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', '"
685477824344571961,https://www.airbnb.com/rooms/685477824344571961,Condo in AAD · ?4.59 · 1 bedroom · 1 bed · 1 bath,428941571,Erica,10/25/2021,"Buenos Aires, Argentina",within an hour,100%,f,Monserrat,-34.6098,-58.38529,Entire condo,2,1 bath,1.0,3,365,22,8/19/2022,11/17/2023,4.59,"[-58.38529, -34.6098]",24.0,USD,"['Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Room-darkening shades', "
