Anio,Mes,Periodo,Dia,Fecha,Franja_Horaria,Tipo,Subtipo,Uso_Arma,Uso_Moto,Barrio,Comuna,Cantidad
2016,Enero,Ene-2016,Lunes,2016-01-25,19,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Miércoles,2016-01-27,11,Robo,Robo total,si,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Lunes,2016-01-18,12,Robo,Robo total,no,si,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-23,10,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-05,20,Robo,Robo automotor,si,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Lunes,2016-01-11,19,Robo,Robo total,no,no,VERSALLES,10,1
2016,Enero,Ene-2016,Jueves,2016-01-21,16,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-19,10,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Domingo,2016-01-31,8,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Domingo,2016-01-10,19,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-09,21,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-12,6,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-23,23,Robo,Robo total,si,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Jueves,2016-01-07,0,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Viernes,2016-01-29,12,Robo,Robo total,no,no,VERSALLES,10,1
2016,Enero,Ene-2016,Viernes,2016-01-01,12,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-05,19,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-02,19,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-05,18,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Lunes,2016-01-11,16,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Jueves,2016-01-14,13,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-23,19,Robo,Robo total,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-23,18,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Jueves,2016-01-28,13,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-29,11,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Jueves,2016-01-28,21,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Jueves,2016-01-07,16,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Jueves,2016-01-21,13,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Sábado,2016-01-16,18,Robo,Robo total,no,no,VERSALLES,10,1
2016,Enero,Ene-2016,Sábado,2016-01-16,9,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Sábado,2016-01-02,23,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Domingo,2016-01-31,20,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Lunes,2016-01-11,21,Robo,Robo total,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-26,2,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-29,21,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Viernes,2016-01-22,20,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Lunes,2016-01-25,10,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-29,19,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-23,11,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-08,18,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-15,18,Robo,Robo total,no,no,VERSALLES,10,1
2016,Enero,Ene-2016,Martes,2016-01-19,23,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Jueves,2016-01-28,9,Robo,Robo total,no,si,LINIERS,9,1
2016,Enero,Ene-2016,Miércoles,2016-01-27,21,Robo,Robo total,si,si,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-30,7,Robo,Robo automotor,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Domingo,2016-01-10,14,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-09,20,Robo,Robo automotor,si,no,VERSALLES,10,1
2016,Enero,Ene-2016,Viernes,2016-01-22,13,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Jueves,2016-01-21,15,Robo,Robo total,no,no,VERSALLES,10,1
2016,Enero,Ene-2016,Viernes,2016-01-29,13,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-26,16,Robo,Robo total,si,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Miércoles,2016-01-06,22,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Jueves,2016-01-21,13,Robo,Robo total,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Lunes,2016-01-18,3,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Domingo,2016-01-24,18,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-05,21,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-15,5,Robo,Robo total,si,si,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Miércoles,2016-01-06,23,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-01,1,Robo,Robo total,no,no,VERSALLES,10,1
2016,Enero,Ene-2016,Jueves,2016-01-28,22,Robo,Robo total,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-29,20,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Domingo,2016-01-03,14,Robo,Robo total,si,si,LINIERS,9,1
2016,Enero,Ene-2016,Jueves,2016-01-07,20,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-30,22,Robo,Robo automotor,si,si,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-19,16,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-12,1,Robo,Robo total,si,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Viernes,2016-01-08,19,Robo,Robo total,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Jueves,2016-01-28,21,Robo,Robo automotor,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-02,23,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Domingo,2016-01-17,7,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-02,13,Robo,Robo total,si,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Domingo,2016-01-17,1,Robo,Robo total,si,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Miércoles,2016-01-13,21,Robo,Robo automotor,si,no,MATADEROS,9,1
2016,Enero,Ene-2016,Domingo,2016-01-10,22,Robo,Robo total,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Miércoles,2016-01-13,2,Robo,Robo total,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-08,23,Robo,Robo automotor,si,no,MATADEROS,9,1
2016,Enero,Ene-2016,Domingo,2016-01-10,18,Robo,Robo total,no,si,LINIERS,9,1
2016,Enero,Ene-2016,Lunes,2016-01-25,0,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Jueves,2016-01-21,21,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Jueves,2016-01-21,21,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Lunes,2016-01-18,11,Robo,Robo total,no,no,VERSALLES,10,1
2016,Enero,Ene-2016,Martes,2016-01-19,21,Robo,Robo total,si,si,VILLA DEVOTO,11,1
