ID_Alojamiento,URL_Alojamiento,Desc_Alojamiento,ID_Host,Nombre_Host,Fecha_Ini_Host,Ubicacion_Host,Tiempo_Rpta_Host,Ratio_Rpta_Host,Superhost,Barrio_Alojamiento,Barrio_Latitude,Barrio_Logitude,Tipo_Propiedad,Capacidad_Alojamiento,Cant_Baños,Cant_Camas,Noches_Min,Noches_Max,Cant_Reseñas_Alojamiento,Fecha_Ini_Reseña,Fecha_Ult_Reseña,Score_Rating,Punto_Geo_Alojamiento,Precio_Noche,Moneda,Amenidades
253370,https://www.airbnb.com/rooms/253370,Rental unit in Buenos Aires · ?4.67 · 1 bedroom · 1 bed · 1 bath,1330334,Fernando,10/24/2011,"Ramos Mejía, Argentina",within an hour,100%,t,Almagro,-34.59871,-58.41421,Entire rental unit,2,1 bath,1.0,180,1000,104,1/3/2012,8/31/2023,4.67,"[-58.41421, -34.59871]",27.0,USD,"['Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Dryer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Iron', 'Ethernet connection', 'TV with standard cable', 'Air conditioning', 'Heating', 'Smoke alarm', 'Fire extinguisher', '"
259745,https://www.airbnb.com/rooms/259745,casa particular in Buenos Aires · ?4.79 · 1 bedroom · 1 bed · 1.5 baths,78281,Nadia,2/6/2010,"Buenos Aires, Argentina",within a few hours,100%,t,Almagro,-34.60355,-58.41701,Private room in casa particular,2,1.5 baths,1.0,3,180,45,1/24/2012,12/10/2023,4.79,"[-58.41701, -34.60355]",15.0,USD,"['Hair dryer', 'Cleaning products', 'SIMPLEMENTE JABÓN body soap', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing'"
264704,https://www.airbnb.com/rooms/264704,Home in Buenos Aires · ?4.83 · 6 bedrooms · 6 beds · 3 baths,1388769,Juan Y Josefina,11/9/2011,"Buenos Aires, Argentina",,,f,Balvanera,-34.61722,-58.40186,Private room in home,2,3 baths,6.0,5,365,47,12/5/2011,8/25/2019,4.83,"[-58.40186, -34.61722]",15.0,USD,"['Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit"
264769,https://www.airbnb.com/rooms/264769,Condo in Buenos Aires · ?4.93 · 1 bedroom · 1 bed · 1 bath,319901,Ralf Dietmar,12/15/2010,"Buenos Aires, Argentina",within an hour,100%,t,Palermo,-34.5808,-58.42314,Entire condo,2,1 bath,1.0,3,365,72,4/19/2012,12/17/2023,4.93,"[-58.42314, -34.5808]",118.0,USD,"['City skyline view', 'River view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Hot water', 'Washer ? In unit', 'Dryer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens"
266984,https://www.airbnb.com/rooms/266984,Rental unit in Buenos Aires · ?4.65 · 1 bedroom · 2 beds · 1 bath,1400016,Laura,11/12/2011,"Buenos Aires, Argentina",within a day,87%,f,Palermo,-34.57268524169922,-58.431739807128906,Entire rental unit,2,1 bath,2.0,7,1125,46,3/9/2014,5/3/2023,4.65,"[-58.431739807128906, -34.57268524169922]",,,
268446,https://www.airbnb.com/rooms/268446,Home in Buenos Aires · ?4.79 · 6 bedrooms · 6 beds · 3 baths,1388769,Juan Y Josefina,11/9/2011,"Buenos Aires, Argentina",,,f,Balvanera,-34.6177,-58.40072,Private room in home,3,3 baths,6.0,5,365,75,12/16/2011,5/19/2019,4.79,"[-58.40072, -34.6177]",15.0,USD,"['Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Dryer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Iron', 'TV', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', "
275933,https://www.airbnb.com/rooms/275933,Rental unit in Buenos Aires · ?4.72 · 2 bedrooms · 3 beds · 1 bath,419383,Mariana Y Sebas,3/2/2011,"Buenos Aires, Argentina",within an hour,100%,t,Palermo,-34.58044,-58.40753,Entire rental unit,4,1 bath,3.0,3,365,117,2/26/2012,12/12/2023,4.72,"[-58.40753, -34.58044]",52.0,USD,"['Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Iron', 'TV with standard cable', 'Crib', 'Air conditioning', 'Heating', 'Wifi', 'Kitchen', 'Space where guests can cook their own mea"
278433,https://www.airbnb.com/rooms/278433,Rental unit in Buenos Aires · ?4.40 · 2 bedrooms · 5 beds · 1 bath,1011896,Natalia,8/23/2011,"Buenos Aires, Argentina",within an hour,95%,f,Palermo,-34.57945,-58.42914,Entire rental unit,6,1 bath,5.0,1,30,10,10/24/2012,7/15/2022,4.4,"[-58.42914, -34.57945]",189.0,USD,"['Hair dryer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Iron', 'TV with standard cable', 'Crib', 'Air conditioning', 'Heating', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Space where guests can cook their own"
280564,https://www.airbnb.com/rooms/280564,Rental unit in Buenos Aires · ?4.30 · 2 bedrooms · 2 beds · 1 bath,1462651,Manuel,12/1/2011,"Buenos Aires, Argentina",,,f,Palermo,-34.57936,-58.42894,Entire rental unit,2,1 bath,2.0,60,1000,10,12/14/2013,11/22/2022,4.3,"[-58.42894, -34.57936]",34.0,USD,"['Cleaning products', 'Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Drying rack for clothing', 'Clothing storage: closet', 'TV', 'Central air conditioning', 'Heating', 'Wifi'"
281131,https://www.airbnb.com/rooms/281131,Rental unit in Buenos Aires · ?4.77 · 1 bedroom · 2 beds · 1 bath,36441,Robert,9/5/2009,"New York, United States",within a few hours,100%,f,Recoleta,-34.59643,-58.39188,Entire rental unit,3,1 bath,2.0,3,180,52,1/4/2012,4/25/2023,4.77,"[-58.39188, -34.59643]",58.0,USD,"['Bathtub', 'Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Dryer ? In building', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Ethernet connection', "
